ORIGIN,DEST
ACY,FLL
ACY,MCO
ACY,PBI
ACY,RSW
ACY,TPA
ALB,FLL
ALB,MCO
ALB,TPA
ATL,DAB
ATL,ECP
ATL,EYW
ATL,FLL
ATL,GNV
ATL,JAX
ATL,MCO
ATL,MIA
ATL,MLB
ATL,PBI
ATL,PNS
ATL,RSW
ATL,SRQ
ATL,TLH
ATL,TPA
ATL,VPS
AUS,FLL
AUS,MCO
AUS,TPA
BDL,FLL
BDL,MCO
BDL,MIA
BDL,PBI
BDL,RSW
BDL,TPA
BHM,MCO
BHM,TPA
BNA,ECP
BNA,FLL
BNA,JAX
BNA,MCO
BNA,MIA
BNA,PNS
BNA,RSW
BNA,TPA
BOS,FLL
BOS,JAX
BOS,MCO
BOS,MIA
BOS,PBI
BOS,RSW
BOS,SRQ
BOS,TPA
BQN,FLL
BQN,MCO
BUF,FLL
BUF,MCO
BUF,RSW
BUF,TPA
BWI,ECP
BWI,FLL
BWI,JAX
BWI,MCO
BWI,MIA
BWI,PBI
BWI,RSW
BWI,TPA
CAK,FLL
CAK,MCO
CHS,FLL
CLE,FLL
CLE,MCO
CLE,RSW
CLE,TPA
CLT,FLL
CLT,JAX
CLT,MCO
CLT,MIA
CLT,PBI
CLT,RSW
CLT,TPA
CMH,FLL
CMH,MCO
CMH,RSW
CMH,TPA
COS,MCO
CVG,FLL
CVG,MCO
CVG,RSW
CVG,TPA
DAB,ATL
DAB,JFK
DAL,ECP
DAL,FLL
DAL,MCO
DAL,TPA
DCA,FLL
DCA,JAX
DCA,MCO
DCA,MIA
DCA,PBI
DCA,RSW
DCA,TPA
DEN,FLL
DEN,JAX
DEN,MCO
DEN,MIA
DEN,RSW
DEN,TPA
DFW,FLL
DFW,JAX
DFW,MCO
DFW,MIA
DFW,PBI
DFW,PNS
DFW,RSW
DFW,TPA
DFW,VPS
DTW,FLL
DTW,MCO
DTW,MIA
DTW,PBI
DTW,RSW
DTW,TPA
ECP,ATL
ECP,BNA
ECP,BWI
ECP,DAL
ECP,HOU
ECP,IAH
ECP,STL
EGE,MIA
EWR,FLL
EWR,JAX
EWR,MCO
EWR,MIA
EWR,PBI
EWR,RSW
EWR,SRQ
EWR,TPA
EYW,ATL
FLL,ACY
FLL,ALB
FLL,ATL
FLL,AUS
FLL,BDL
FLL,BNA
FLL,BOS
FLL,BQN
FLL,BUF
FLL,BWI
FLL,CAK
FLL,CHS
FLL,CLE
FLL,CLT
FLL,CMH
FLL,CVG
FLL,DAL
FLL,DCA
FLL,DEN
FLL,DFW
FLL,DTW
FLL,EWR
FLL,HOU
FLL,HPN
FLL,IAD
FLL,IAG
FLL,IAH
FLL,IND
FLL,ISP
FLL,JAX
FLL,JFK
FLL,LAS
FLL,LAX
FLL,LBE
FLL,LGA
FLL,LGB
FLL,MCI
FLL,MCO
FLL,MDW
FLL,MKE
FLL,MSP
FLL,MSY
FLL,MYR
FLL,ORD
FLL,ORH
FLL,PBG
FLL,PHL
FLL,PHX
FLL,PIT
FLL,PVD
FLL,RDU
FLL,RIC
FLL,SAN
FLL,SEA
FLL,SFO
FLL,SJU
FLL,STL
FLL,STT
FLL,SWF
FLL,SYR
FLL,TPA
FLL,TTN
GNV,ATL
GRR,MCO
GRR,RSW
GRR,TPA
HOU,ECP
HOU,FLL
HOU,JAX
HOU,MCO
HOU,PNS
HOU,TPA
HPN,FLL
HPN,MCO
HPN,PBI
HPN,RSW
HPN,TPA
IAD,FLL
IAD,MCO
IAD,MIA
IAD,TPA
IAG,FLL
IAG,MCO
IAH,ECP
IAH,FLL
IAH,JAX
IAH,MCO
IAH,MIA
IAH,PBI
IAH,PNS
IAH,RSW
IAH,TPA
IAH,VPS
IND,FLL
IND,MCO
IND,RSW
IND,TPA
ISP,FLL
ISP,MCO
ISP,MIA
ISP,PBI
ISP,TPA
JAX,ATL
JAX,BNA
JAX,BOS
JAX,BWI
JAX,CLT
JAX,DCA
JAX,DEN
JAX,DFW
JAX,EWR
JAX,FLL
JAX,HOU
JAX,IAH
JAX,JFK
JAX,MDW
JAX,MSP
JAX,ORD
JAX,PHL
JFK,DAB
JFK,FLL
JFK,JAX
JFK,MCO
JFK,MIA
JFK,PBI
JFK,RSW
JFK,SRQ
JFK,TPA
LAS,FLL
LAS,MCO
LAS,MIA
LAS,TPA
LAX,FLL
LAX,MCO
LAX,MIA
LAX,TPA
LBE,FLL
LBE,MCO
LGA,FLL
LGA,MCO
LGA,MIA
LGA,PBI
LGA,RSW
LGA,SRQ
LGA,TPA
LGB,FLL
MCI,FLL
MCI,MCO
MCI,RSW
MCI,TPA
MCO,ACY
MCO,ALB
MCO,ATL
MCO,AUS
MCO,BDL
MCO,BHM
MCO,BNA
MCO,BOS
MCO,BQN
MCO,BUF
MCO,BWI
MCO,CAK
MCO,CLE
MCO,CLT
MCO,CMH
MCO,COS
MCO,CVG
MCO,DAL
MCO,DCA
MCO,DEN
MCO,DFW
MCO,DTW
MCO,EWR
MCO,FLL
MCO,GRR
MCO,HOU
MCO,HPN
MCO,IAD
MCO,IAG
MCO,IAH
MCO,IND
MCO,ISP
MCO,JFK
MCO,LAS
MCO,LAX
MCO,LBE
MCO,LGA
MCO,MCI
MCO,MDW
MCO,MEM
MCO,MHT
MCO,MIA
MCO,MKE
MCO,MSP
MCO,MSY
MCO,OMA
MCO,ORD
MCO,ORF
MCO,ORH
MCO,PBG
MCO,PDX
MCO,PHL
MCO,PHX
MCO,PIT
MCO,PSE
MCO,PVD
MCO,RDU
MCO,RIC
MCO,ROC
MCO,SAN
MCO,SAT
MCO,SDF
MCO,SEA
MCO,SFO
MCO,SJU
MCO,SLC
MCO,STL
MCO,SWF
MCO,SYR
